Quaternion: q0=0.8294066190719604, q1=0.031184708699584007, q2=-0.007315624505281448, q3=0.5577263236045837
Quaternion: q0=0.8302398324012756, q1=0.031180398538708687, q2=-0.007356666028499603, q3=0.5564849376678467
Quaternion: q0=0.8309751152992249, q1=0.031169213354587555, q2=-0.007404472213238478, q3=0.5553863644599915
Quaternion: q0=0.8316964507102966, q1=0.03115159086883068, q2=-0.007458254229277372, q3=0.5543059706687927
Quaternion: q0=0.8323836922645569, q1=0.031171157956123352, q2=-0.007523864507675171, q3=0.5532714128494263
Quaternion: q0=0.8331355452537537, q1=0.03115435503423214, q2=-0.0075943730771541595, q3=0.5521385669708252
Quaternion: q0=0.8339638710021973, q1=0.031143227592110634, q2=-0.007645446807146072, q3=0.5508866310119629
Quaternion: q0=0.8348086476325989, q1=0.03114067204296589, q2=-0.007706044241786003, q3=0.5496047139167786
Quaternion: q0=0.8355563282966614, q1=0.03114262968301773, q2=-0.007750849239528179, q3=0.5484666228294373
Quaternion: q0=0.8363347053527832, q1=0.031142879277467728, q2=-0.00780137162655592, q3=0.5472782254219055
Quaternion: q0=0.8371232151985168, q1=0.031141703948378563, q2=-0.00786342192441225, q3=0.5460706353187561
Quaternion: q0=0.8378874063491821, q1=0.031148023903369904, q2=-0.007921976037323475, q3=0.5448962450027466
Quaternion: q0=0.8386209011077881, q1=0.031131979078054428, q2=-0.007973745465278625, q3=0.5437668561935425
Quaternion: q0=0.8394038677215576, q1=0.031133562326431274, q2=-0.008006205782294273, q3=0.5425567030906677
Quaternion: q0=0.840118408203125, q1=0.03113613650202751, q2=-0.008038753643631935, q3=0.5414490103721619
Quaternion: q0=0.8408053517341614, q1=0.031126396730542183, q2=-0.008068379014730453, q3=0.5403817892074585
Quaternion: q0=0.8414285778999329, q1=0.031134694814682007, q2=-0.008093864656984806, q3=0.5394100546836853
Quaternion: q0=0.8421077728271484, q1=0.031128037720918655, q2=-0.008147850632667542, q3=0.5383485555648804
Quaternion: q0=0.8426171541213989, q1=0.031127285212278366, q2=-0.008181239478290081, q3=0.5375505089759827
Quaternion: q0=0.8431089520454407, q1=0.031123680993914604, q2=-0.0082117710262537, q3=0.5367785096168518
Quaternion: q0=0.8436390161514282, q1=0.03112444281578064, q2=-0.008249983191490173, q3=0.5359445214271545
Quaternion: q0=0.8442345261573792, q1=0.03112603910267353, q2=-0.008288359269499779, q3=0.5350052714347839
Quaternion: q0=0.8448923826217651, q1=0.031117402017116547, q2=-0.008335040882229805, q3=0.5339654088020325
Quaternion: q0=0.8456332087516785, q1=0.031111910939216614, q2=-0.008373367600142956, q3=0.5327911376953125
Quaternion: q0=0.8463060259819031, q1=0.031102856621146202, q2=-0.00840541161596775, q3=0.5317218899726868
Quaternion: q0=0.8468886017799377, q1=0.031090570613741875, q2=-0.008438651449978352, q3=0.5307937264442444
Quaternion: q0=0.8473740816116333, q1=0.031091786921024323, q2=-0.008466544561088085, q3=0.5300177335739136
Quaternion: q0=0.8477776646614075, q1=0.031090261414647102, q2=-0.008487588725984097, q3=0.5293717980384827
Quaternion: q0=0.8482053875923157, q1=0.031079929322004318, q2=-0.008519839495420456, q3=0.5286862254142761
Quaternion: q0=0.8486502766609192, q1=0.031069159507751465, q2=-0.008552070707082748, q3=0.5279719233512878
Quaternion: q0=0.8491328358650208, q1=0.031057210639119148, q2=-0.008587564341723919, q3=0.5271956324577332
Quaternion: q0=0.8496048450469971, q1=0.0310519952327013, q2=-0.008606527000665665, q3=0.5264344811439514
Quaternion: q0=0.849981963634491, q1=0.031038815155625343, q2=-0.008644656278192997, q3=0.5258256196975708
Quaternion: q0=0.8503859639167786, q1=0.031029611825942993, q2=-0.00867148581892252, q3=0.5251721739768982
Quaternion: q0=0.8508196473121643, q1=0.031018303707242012, q2=-0.008693740703165531, q3=0.5244694352149963
Quaternion: q0=0.8513485193252563, q1=0.031009629368782043, q2=-0.008728481829166412, q3=0.5236106514930725
Quaternion: q0=0.8518447279930115, q1=0.03099537082016468, q2=-0.008762139827013016, q3=0.5228031873703003
Quaternion: q0=0.8523298501968384, q1=0.030974680557847023, q2=-0.008782962337136269, q3=0.5220127701759338
Quaternion: q0=0.8528271317481995, q1=0.030966583639383316, q2=-0.008795267902314663, q3=0.5212002396583557
Quaternion: q0=0.8533412218093872, q1=0.030970625579357147, q2=-0.008823554962873459, q3=0.5203573703765869
Quaternion: q0=0.8538670539855957, q1=0.030966680496931076, q2=-0.008853064849972725, q3=0.5194936990737915
Quaternion: q0=0.8544207215309143, q1=0.03095465525984764, q2=-0.00887894444167614, q3=0.5185828804969788
Quaternion: q0=0.8549463748931885, q1=0.030967140570282936, q2=-0.00889975018799305, q3=0.51771479845047
Quaternion: q0=0.8554511070251465, q1=0.030942073091864586, q2=-0.008935903199017048, q3=0.5168811678886414
Quaternion: q0=0.8559395670890808, q1=0.030949050560593605, q2=-0.008961771614849567, q3=0.5160712003707886
Quaternion: q0=0.8564026951789856, q1=0.030930185690522194, q2=-0.009018950164318085, q3=0.5153024196624756
Quaternion: q0=0.8568285703659058, q1=0.03093809261918068, q2=-0.009030228480696678, q3=0.514593243598938
Quaternion: q0=0.8571887016296387, q1=0.030923224985599518, q2=-0.009047694504261017, q3=0.5139937400817871
Quaternion: q0=0.8575183749198914, q1=0.03093084879219532, q2=-0.009073680266737938, q3=0.5134426951408386
Quaternion: q0=0.8578556776046753, q1=0.03091391548514366, q2=-0.009077250957489014, q3=0.5128799080848694
Quaternion: q0=0.8581513166427612, q1=0.030918417498469353, q2=-0.009075045585632324, q3=0.5123845934867859
Quaternion: q0=0.8584703803062439, q1=0.030929386615753174, q2=-0.009118770249187946, q3=0.5118484497070312
Quaternion: q0=0.8588230609893799, q1=0.03095266968011856, q2=-0.009119756519794464, q3=0.5112550258636475
Quaternion: q0=0.859184205532074, q1=0.030932122841477394, q2=-0.009159429930150509, q3=0.5106486082077026
Quaternion: q0=0.859474778175354, q1=0.030935782939195633, q2=-0.009182102978229523, q3=0.5101584792137146
Quaternion: q0=0.859726071357727, q1=0.030908606946468353, q2=-0.009176094084978104, q3=0.5097368955612183
Quaternion: q0=0.8599579930305481, q1=0.03094439022243023, q2=-0.00916664581745863, q3=0.5093433260917664
Quaternion: q0=0.8602117896080017, q1=0.030899520963430405, q2=-0.00919677410274744, q3=0.5089169144630432
Quaternion: q0=0.8605244159698486, q1=0.030930273234844208, q2=-0.009200562722980976, q3=0.5083860754966736
Quaternion: q0=0.8609037399291992, q1=0.03090236894786358, q2=-0.009201591834425926, q3=0.5077451467514038
Quaternion: q0=0.8612771034240723, q1=0.030888693407177925, q2=-0.0092233931645751, q3=0.5071121454238892
Quaternion: q0=0.8616536855697632, q1=0.03087041527032852, q2=-0.009239310398697853, q3=0.5064728260040283
Quaternion: q0=0.862005352973938, q1=0.030878745019435883, q2=-0.009269327856600285, q3=0.505872905254364
Quaternion: q0=0.8623723983764648, q1=0.030854687094688416, q2=-0.009307987987995148, q3=0.5052478313446045
Quaternion: q0=0.8626521229743958, q1=0.030870206654071808, q2=-0.009303254075348377, q3=0.5047692060470581
Quaternion: q0=0.8628926277160645, q1=0.030827896669507027, q2=-0.009322166442871094, q3=0.5043601393699646
Quaternion: q0=0.863138735294342, q1=0.030843419954180717, q2=-0.009329546242952347, q3=0.5039376020431519
Quaternion: q0=0.8633909821510315, q1=0.030847834423184395, q2=-0.009357373230159283, q3=0.5035046935081482
Quaternion: q0=0.8636655211448669, q1=0.030816059559583664, q2=-0.00938736367970705, q3=0.5030351281166077
Quaternion: q0=0.8640402555465698, q1=0.030836045742034912, q2=-0.009390049614012241, q3=0.5023897290229797
Quaternion: q0=0.8645045757293701, q1=0.03077968768775463, q2=-0.009409161284565926, q3=0.5015934109687805
Quaternion: q0=0.8650031685829163, q1=0.03079424612224102, q2=-0.009451012127101421, q3=0.5007314085960388
Quaternion: q0=0.8655136227607727, q1=0.03073471039533615, q2=-0.009508390910923481, q3=0.4998511075973511
Quaternion: q0=0.8659892082214355, q1=0.030721956863999367, q2=-0.009534341283142567, q3=0.4990270733833313
Quaternion: q0=0.8663603663444519, q1=0.030738335102796555, q2=-0.009553123265504837, q3=0.49838119745254517
Quaternion: q0=0.866654098033905, q1=0.030705008655786514, q2=-0.009581035934388638, q3=0.49787163734436035
Quaternion: q0=0.8668765425682068, q1=0.03072669543325901, q2=-0.0095913615077734, q3=0.497482568025589
Quaternion: q0=0.8671213388442993, q1=0.030747361481189728, q2=-0.009587861597537994, q3=0.4970545470714569
Quaternion: q0=0.8674127459526062, q1=0.030735492706298828, q2=-0.009606584906578064, q3=0.49654632806777954
Quaternion: q0=0.8677635788917542, q1=0.030735932290554047, q2=-0.009627493098378181, q3=0.49593260884284973
Quaternion: q0=0.8680976033210754, q1=0.03073272667825222, q2=-0.009669553488492966, q3=0.4953468441963196
Quaternion: q0=0.8684377074241638, q1=0.030701041221618652, q2=-0.00969085656106472, q3=0.4947521388530731
